Journal Name,Journal Key,Year,Articles,Unique Authors
BMC Public Health,bmc_public_health,2001,17,71
BMC Public Health,bmc_public_health,2002,27,147
BMC Public Health,bmc_public_health,2003,42,201
BMC Public Health,bmc_public_health,2004,69,310
BMC Public Health,bmc_public_health,2005,142,636
BMC Public Health,bmc_public_health,2006,314,1541
BMC Public Health,bmc_public_health,2007,359,1810
BMC Public Health,bmc_public_health,2008,433,2177
BMC Public Health,bmc_public_health,2009,509,2669
BMC Public Health,bmc_public_health,2010,815,4380
BMC Public Health,bmc_public_health,2011,1056,5858
BMC Public Health,bmc_public_health,2012,1180,6252
BMC Public Health,bmc_public_health,2013,1280,6921
BMC Public Health,bmc_public_health,2014,1405,7300
BMC Public Health,bmc_public_health,2015,1450,8338
BMC Public Health,bmc_public_health,2016,1119,6647
BMC Public Health,bmc_public_health,2017,1081,6120
BMC Public Health,bmc_public_health,2018,1318,7805
BMC Public Health,bmc_public_health,2019,1763,10438
BMC Public Health,bmc_public_health,2020,1921,11497
BMC Public Health,bmc_public_health,2021,2338,14894
BMC Public Health,bmc_public_health,2022,2463,16181
BMC Public Health,bmc_public_health,2023,2564,16697
BMC Public Health,bmc_public_health,2024,3622,22604
BMC Public Health,bmc_public_health,2025,3735,22903
Nature Communications,nature_communications,2010,153,1138
Nature Communications,nature_communications,2011,452,6298
Nature Communications,nature_communications,2012,725,5746
Nature Communications,nature_communications,2013,1657,13492
Nature Communications,nature_communications,2014,2854,25376
Nature Communications,nature_communications,2015,3348,31747
Nature Communications,nature_communications,2016,3686,36318
Nature Communications,nature_communications,2017,4539,43218
Nature Communications,nature_communications,2018,5516,53304
Nature Communications,nature_communications,2019,5831,57764
Nature Communications,nature_communications,2020,6449,65194
Nature Communications,nature_communications,2021,7362,77780
Nature Communications,nature_communications,2022,7977,85007
Nature Communications,nature_communications,2023,8527,86074
Nature Communications,nature_communications,2024,10925,109822
Nature Communications,nature_communications,2025,9625,102381
Scientific Reports,scientific_reports,2011,205,1289
Scientific Reports,scientific_reports,2012,807,4648
Scientific Reports,scientific_reports,2013,2553,14967
Scientific Reports,scientific_reports,2014,4021,23084
Scientific Reports,scientific_reports,2015,10938,63946
Scientific Reports,scientific_reports,2016,21054,122434
Scientific Reports,scientific_reports,2017,25338,154159
Scientific Reports,scientific_reports,2018,18166,116180
Scientific Reports,scientific_reports,2019,20422,132165
Scientific Reports,scientific_reports,2020,22461,143474
Scientific Reports,scientific_reports,2021,24532,156743
Scientific Reports,scientific_reports,2022,22653,141748
Scientific Reports,scientific_reports,2023,23104,138745
Scientific Reports,scientific_reports,2024,32175,181436
Scientific Reports,scientific_reports,2025,38218,200129
